Date,Canals to Kuraz Sugar Plantations
2030-12-09,59.89
2030-12-10,59.894999999999996
2030-12-11,59.9
2030-12-12,59.9
2030-12-13,59.9
2030-12-14,59.9
2030-12-15,59.9
2030-12-16,59.92
2030-12-17,59.92
2030-12-18,59.91
2030-12-19,59.92
2030-12-20,59.92
2030-12-21,59.92
2030-12-22,59.93
2030-12-23,59.93
2030-12-24,59.93
2030-12-25,59.93
2030-12-26,59.94
2030-12-27,59.94
2030-12-28,59.94
2030-12-29,59.945
2030-12-30,59.94
2030-12-31,59.95
2031-01-01,57.3
2031-01-02,57.305
2031-01-03,57.315
2031-01-04,57.31
2031-01-05,57.315
2031-01-06,57.315
2031-01-07,57.32
2031-01-08,57.32
2031-01-09,57.32
2031-01-10,57.32
2031-01-11,57.32
2031-01-12,57.32
2031-01-13,57.325
2031-01-14,57.325
2031-01-15,57.325
2031-01-16,57.325
2031-01-17,57.335
2031-01-18,57.34
2031-01-19,57.335
2031-01-20,57.335
2031-01-21,57.345
2031-01-22,57.345
2031-01-23,57.345
2031-01-24,57.345
2031-01-25,57.345
2031-01-26,57.345
2031-01-27,57.345
2031-01-28,57.35
2031-01-29,57.355000000000004
2031-01-30,57.36
2031-01-31,57.355000000000004
2031-02-01,58.76
2031-02-02,58.75
2031-02-03,58.77
2031-02-04,58.765
2031-02-05,58.765
2031-02-06,58.77
2031-02-07,58.77
2031-02-08,58.775000000000006
2031-02-09,58.78
2031-02-10,58.78
2031-02-11,58.78
2031-02-12,58.785
2031-02-13,58.79
2031-02-14,58.79
2031-02-15,58.795
2031-02-16,58.79
2031-02-17,58.8
2031-02-18,58.805
2031-02-19,58.805
2031-02-20,58.82
2031-02-21,58.82
2031-02-22,58.82
2031-02-23,58.82
2031-02-24,58.82
2031-02-25,58.825
2031-02-26,58.83
2031-02-27,58.83
2031-02-28,58.83
2031-03-01,60.165
2031-03-02,60.17
2031-03-03,60.19
2031-03-04,60.19
2031-03-05,60.2
2031-03-06,60.21
2031-03-07,60.215
2031-03-08,60.235
2031-03-09,60.24
2031-03-10,60.245000000000005
2031-03-11,60.254999999999995
2031-03-12,60.265
2031-03-13,60.269999999999996
2031-03-14,60.29
2031-03-15,60.29
2031-03-16,60.3
2031-03-17,60.305
2031-03-18,60.31
2031-03-19,60.33
2031-03-20,60.335
2031-03-21,60.34
2031-03-22,60.35
2031-03-23,60.35
2031-03-24,60.370000000000005
2031-03-25,60.375
2031-03-26,60.385000000000005
2031-03-27,60.394999999999996
2031-03-28,60.4
2031-03-29,60.405
2031-03-30,60.43
2031-03-31,60.43
2031-04-01,61.68
2031-04-02,61.7
2031-04-03,61.705
2031-04-04,61.72
2031-04-05,61.74
2031-04-06,61.75
2031-04-07,61.76
2031-04-08,61.78
2031-04-09,61.795
2031-04-10,61.8
2031-04-11,61.82
2031-04-12,61.835
2031-04-13,61.85
2031-04-14,61.87
2031-04-15,61.875
2031-04-16,61.89
2031-04-17,61.91
2031-04-18,61.92
2031-04-19,61.925
2031-04-20,61.95
2031-04-21,61.965
2031-04-22,61.97
2031-04-23,61.99
2031-04-24,62.004999999999995
2031-04-25,62.025000000000006
2031-04-26,62.035
2031-04-27,62.045
2031-04-28,62.06
2031-04-29,62.08
2031-04-30,62.085
2031-05-01,63.19
2031-05-02,63.205
2031-05-03,63.205
2031-05-04,63.224999999999994
2031-05-05,63.235
2031-05-06,63.24
2031-05-07,63.26
2031-05-08,63.265
2031-05-09,63.27
2031-05-10,63.295
2031-05-11,63.3
2031-05-12,63.31
2031-05-13,63.31
2031-05-14,63.325
2031-05-15,63.34
2031-05-16,63.35
2031-05-17,63.36
2031-05-18,63.37
2031-05-19,63.38
2031-05-20,63.394999999999996
2031-05-21,63.41
2031-05-22,63.415
2031-05-23,63.42
2031-05-24,63.425
2031-05-25,63.45
